region,site,survey_year,species,life_stage,count
Upper Bay,U1,2024,Cod,juvenile,42
Upper Bay,U1,2024,Cod,adult,12
Upper Bay,U1,2024,Haddock,juvenile,18
Upper Bay,U1,2024,Haddock,adult,8
Upper Bay,U1,2024,Polluck,juvenile,65
Upper Bay,U1,2024,Polluck,adult,21
Upper Bay,U2,2024,Cod,juvenile,35
Upper Bay,U2,2024,Cod,adult,10
Upper Bay,U2,2024,Haddock,adult,6
Upper Bay,U2,2024,Polluck,juvenile,48
Upper Bay,U2,2024,Polluck,adult,16
Upper Bay,U3,2024,Cod,juvenile,27
Upper Bay,U3,2024,Cod,adult,9
Upper Bay,U3,2024,Haddock,juvenile,14
Upper Bay,U3,2024,Haddock,adult,5
Upper Bay,U3,2024,Polluck,juvenile,39
Upper Bay,U3,2024,Polluck,adult,13
Upper Bay,U1,2025,Cod,juvenile,46
Upper Bay,U1,2025,Cod,adult,14
Upper Bay,U1,2025,Haddock,juvenile,20
Upper Bay,U1,2025,Haddock,adult,9
Upper Bay,U1,2025,Polluck,juvenile,70
Upper Bay,U1,2025,Polluck,adult,24
Upper Bay,U2,2025,Cod,juvenile,38
Upper Bay,U2,2025,Cod,adult,11
Upper Bay,U2,2025,Haddock,juvenile,16
Upper Bay,U2,2025,Haddock,adult,7
Upper Bay,U2,2025,Polluck,juvenile,53
Upper Bay,U2,2025,Polluck,adult,18
Upper Bay,U3,2025,Cod,juvenile,30
Upper Bay,U3,2025,Cod,adult,10
Upper Bay,U3,2025,Haddock,juvenile,15
Upper Bay,U3,2025,Haddock,adult,6
Upper Bay,U3,2025,Polluck,juvenile,44
Upper Bay,U3,2025,Polluck,adult,15
Lower Bay,L1,2024,Cod,juvenile,24
Lower Bay,L1,2024,Cod,adult,18
Lower Bay,L1,2024,Haddock,juvenile,11
Lower Bay,L1,2024,Haddock,adult,13
Lower Bay,L1,2024,Polluck,juvenile,31
Lower Bay,L1,2024,Polluck,adult,27
Lower Bay,L2,2024,Cod,juvenile,20
Lower Bay,L2,2024,Cod,adult,16
Lower Bay,L2,2024,Haddock,juvenile,9
Lower Bay,L2,2024,Haddock,adult,12
Lower Bay,L2,2024,Polluck,juvenile,28
Lower Bay,L2,2024,Polluck,adult,25
Lower Bay,L3,2024,Cod,juvenile,17
Lower Bay,L3,2024,Cod,adult,15
Lower Bay,L3,2024,Haddock,juvenile,8
Lower Bay,L3,2024,Haddock,adult,10
Lower Bay,L3,2024,Polluck,juvenile,24
Lower Bay,L1,2025,Cod,juvenile,26
Lower Bay,L1,2025,Cod,adult,20
Lower Bay,L1,2025,Haddock,juvenile,12
Lower Bay,L1,2025,Haddock,adult,15
Lower Bay,L1,2025,Polluck,juvenile,35
Lower Bay,L1,2025,Polluck,adult,30
Lower Bay,L2,2025,Cod,juvenile,22
Lower Bay,L2,2025,Cod,adult,18
Lower Bay,L2,2025,Haddock,juvenile,10
Lower Bay,L2,2025,Haddock,adult,13
Lower Bay,L2,2025,Polluck,juvenile,31
Lower Bay,L2,2025,Polluck,adult,27
Lower Bay,L3,2025,Cod,juvenile,19
Lower Bay,L3,2025,Cod,adult,16
Lower Bay,L3,2025,Haddock,juvenile,9
Lower Bay,L3,2025,Haddock,adult,11
Lower Bay,L3,2025,Polluck,juvenile,27
Lower Bay,L3,2025,Polluck,adult,24
